rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,rank_date
1,Netherlands,NED,1596.13,1542,1,748.05,2011-08-24
2,Spain,ESP,1563.45,1588,-1,589.59,2011-08-24
3,Germany,GER,1329.86,1305,0,617.83,2011-08-24
4,England,ENG,1176.88,1146,2,588.08,2011-08-24
5,Uruguay,URU,1174.34,1156,0,599.26,2011-08-24
6,Brazil,BRA,1156.01,1202,-2,386,2011-08-24
7,Italy,ITA,1109.8,1059,1,626.23,2011-08-24
8,Portugal,POR,1059.87,1076,-1,516.05,2011-08-24
9,Argentina,ARG,1016.96,1012,1,383.75,2011-08-24
10,Croatia,CRO,1008.72,1033,-1,569.7,2011-08-24
11,Chile,CHI,959.85,974,0,447.07,2011-08-24
12,Norway,NOR,942.86,972,0,540.1,2011-08-24
13,Russia,RUS,940.15,915,4,429.93,2011-08-24
14,Greece,GRE,936.61,959,-1,443.31,2011-08-24
15,Japan,JPN,918.4,924,-1,533.87,2011-08-24
15,Côte d'Ivoire,CIV,918.48,922,0,484.37,2011-08-24
15,France,FRA,918.43,920,1,514.63,2011-08-24
18,Sweden,SWE,888.8,884,1,523.93,2011-08-24
19,Montenegro,MNE,874.67,915,-2,617,2011-08-24
20,Mexico,MEX,863.77,868,0,474.22,2011-08-24
21,Denmark,DEN,841.24,857,0,432.28,2011-08-24
22,Australia,AUS,837.35,834,0,377.88,2011-08-24
23,Slovenia,SVN,815.76,833,0,323.25,2011-08-24
24,Turkey,TUR,811.2,820,0,407.97,2011-08-24
25,Paraguay,PAR,807.4,804,1,310.02,2011-08-24
26,Peru,PER,805.72,805,-1,448.07,2011-08-24
26,Slovakia,SVK,806.45,779,3,395.45,2011-08-24
28,USA,USA,791.44,777,2,335.41,2011-08-24
29,Serbia,SRB,784.3,798,-2,330.81,2011-08-24
30,Switzerland,SUI,757.44,777,0,261.93,2011-08-24
31,Republic of Ireland,IRL,753.77,752,2,398.31,2011-08-24
32,Israel,ISR,746.31,771,0,368.25,2011-08-24
33,Korea Republic,KOR,744.91,785,-5,418.96,2011-08-24
34,Egypt,EGY,738.65,735,0,192.91,2011-08-24
35,Colombia,COL,729.58,706,0,363.82,2011-08-24
36,Ghana,GHA,725.67,696,0,274.43,2011-08-24
37,Belgium,BEL,674.52,691,0,398,2011-08-24
38,Nigeria,NGA,659.05,634,5,273.06,2011-08-24
39,Bosnia and Herzegovina,BIH,655.99,642,2,405.2,2011-08-24
40,Burkina Faso,BFA,646.12,661,-1,287.79,2011-08-24
41,Belarus,BLR,645.1,636,1,430.12,2011-08-24
42,Czech Republic,CZE,635.33,670,-4,244.95,2011-08-24
43,Jamaica,JAM,622.76,632,1,410.83,2011-08-24
44,Venezuela,VEN,615.3,648,-4,332.8,2011-08-24
45,Hungary,HUN,612.8,603,2,348.14,2011-08-24
46,Algeria,ALG,612.36,575,6,223.59,2011-08-24
47,South Africa,RSA,601.81,597,2,343.57,2011-08-24
48,Ukraine,UKR,598.43,620,-3,177.52,2011-08-24
49,Senegal,SEN,590.56,619,-3,425.82,2011-08-24
50,Honduras,HON,589.09,592,1,281.32,2011-08-24
51,Bulgaria,BUL,585.57,598,-3,269.59,2011-08-24
52,Cameroon,CMR,581.94,595,-2,219.93,2011-08-24
53,IR Iran,IRN,558.99,564,1,312.78,2011-08-24
54,Romania,ROU,557.73,571,-1,261.25,2011-08-24
55,Scotland,SCO,553.96,513,6,230.05,2011-08-24
56,Lithuania,LTU,552.41,526,2,271.67,2011-08-24
57,Albania,ALB,546.27,524,2,326.55,2011-08-24
57,Tunisia,TUN,545.91,556,-2,269.98,2011-08-24
59,Northern Ireland,NIR,544.53,498,3,320.91,2011-08-24
60,Costa Rica,CRC,530.3,531,-4,242.74,2011-08-24
61,Morocco,MAR,528.95,494,2,359.95,2011-08-24
62,Panama,PAN,524.39,487,3,331.34,2011-08-24
63,Georgia,GEO,521.59,530,-6,398.9,2011-08-24
64,Libya,LBY,504.23,494,-1,328.52,2011-08-24
65,Poland,POL,498.12,474,4,250.54,2011-08-24
66,Ecuador,ECU,491.18,478,1,192.1,2011-08-24
67,Gabon,GAB,481.84,517,-7,64.01,2011-08-24
68,Austria,AUT,472.13,479,-2,200.85,2011-08-24
69,Guinea,GUI,463.84,475,-1,294.24,2011-08-24
69,China PR,CHN,463.79,438,4,263.41,2011-08-24
71,Armenia,ARM,455.77,462,-1,319.69,2011-08-24
72,Cape Verde Islands,CPV,444.38,397,10,329.74,2011-08-24
73,Malawi,MWI,436.33,439,-1,219.18,2011-08-24
74,Zimbabwe,ZIM,433.97,380,12,307.54,2011-08-24
75,El Salvador,SLV,430.78,401,3,234.4,2011-08-24
76,Cyprus,CYP,426.9,398,4,159.77,2011-08-24
76,Zambia,ZAM,426.7,436,-2,203.78,2011-08-24
78,Botswana,BOT,423.78,440,-7,267.93,2011-08-24
79,Finland,FIN,415.59,419,-4,137.78,2011-08-24
80,Uganda,UGA,411.03,417,-4,188.72,2011-08-24
81,Mali,MLI,407.74,416,-4,149.64,2011-08-24
82,Uzbekistan,UZB,401.03,390,1,236.53,2011-08-24
83,Benin,BEN,393.65,380,3,138.46,2011-08-24
84,Latvia,LVA,387.61,388,0,72.5,2011-08-24
85,Bolivia,BOL,379.76,398,-5,90.83,2011-08-24
86,Estonia,EST,374.09,399,-7,183.44,2011-08-24
87,Saudi Arabia,KSA,372.33,354,5,141.49,2011-08-24
88,Moldova,MDA,364.15,383,-3,182.5,2011-08-24
88,Qatar,QAT,364.41,371,1,208.31,2011-08-24
90,FYR Macedonia,MKD,358.02,338,6,104.4,2011-08-24
91,Trinidad and Tobago,TRI,354.69,379,-3,189.68,2011-08-24
92,Jordan,JOR,348.42,364,-1,215.1,2011-08-24
92,Sierra Leone,SLE,347.64,348,1,273.48,2011-08-24
94,New Zealand,NZL,345.51,346,0,46.81,2011-08-24
95,Kuwait,KUW,340.83,341,0,169.48,2011-08-24
96,Angola,ANG,338.07,330,4,166.89,2011-08-24
97,Syria,SYR,337.31,326,7,161.55,2011-08-24
98,Sudan,SDN,328.96,333,-1,229.19,2011-08-24
99,Cuba,CUB,327.16,330,1,224.27,2011-08-24
99,Mozambique,MOZ,326.93,327,4,148.64,2011-08-24
101,Bahrain,BHR,325.01,331,-3,88.45,2011-08-24
102,Canada,CAN,319.24,314,3,188.59,2011-08-24
103,Oman,OMA,311.64,308,3,138.89,2011-08-24
104,Niger,NIG,309.32,331,-6,246.01,2011-08-24
104,Central African Republic,CTA,308.53,370,-14,308.53,2011-08-24
106,Antigua and Barbuda,ATG,307.77,308,0,219.95,2011-08-24
107,Gambia,GAM,305.75,329,-5,158.67,2011-08-24
108,United Arab Emirates,UAE,298.87,301,1,132.31,2011-08-24
109,Iraq,IRQ,292.79,306,-1,176.56,2011-08-24
110,Suriname,SUR,284.72,296,0,199.57,2011-08-24
111,Faroe Islands,FRO,273.48,273,1,165.63,2011-08-24
112,Azerbaijan,AZE,271.67,282,-1,149.17,2011-08-24
113,Guatemala,GUA,261.14,259,3,158.08,2011-08-24
114,Korea DPR,PRK,260.5,262,1,105.97,2011-08-24
114,Guyana,GUY,260.28,269,0,183.89,2011-08-24
116,Haiti,HAI,259.35,256,1,187.97,2011-08-24
117,Wales,WAL,250.75,273,-5,50.63,2011-08-24
118,Grenada,GRN,249.34,247,2,154.06,2011-08-24
119,Liechtenstein,LIE,246.92,252,-1,177,2011-08-24
120,Thailand,THA,245.77,252,-2,111.99,2011-08-24
121,Togo,TOG,242.16,238,2,33.61,2011-08-24
122,St Kitts and Nevis,SKN,239.46,243,0,189.75,2011-08-24
123,Liberia,LBR,237.93,232,2,199.15,2011-08-24
124,Iceland,ISL,232.05,244,-3,38.93,2011-08-24
125,Tanzania,TAN,228.84,230,2,125.94,2011-08-24
126,Kazakhstan,KAZ,227.35,231,0,117.91,2011-08-24
127,Congo DR,COD,221.62,238,-4,150.07,2011-08-24
128,Luxembourg,LUX,211.16,213,0,96.08,2011-08-24
129,Singapore,SIN,208.71,200,2,109.17,2011-08-24
129,Vietnam,VIE,208.64,164,14,132.66,2011-08-24
131,Indonesia,IDN,207.08,185,6,139.62,2011-08-24
132,Congo,CGO,201.43,206,-3,74.82,2011-08-24
133,Kenya,KEN,198.36,204,-3,74.52,2011-08-24
133,Dominican Republic,DOM,198,198,-1,198,2011-08-24
133,Yemen,YEM,198.39,189,2,72.73,2011-08-24
136,Nepal,NEP,193.03,186,0,145.48,2011-08-24
136,Dominica,DMA,193.24,193,-3,175.56,2011-08-24
138,Rwanda,RWA,191.93,190,-4,64.38,2011-08-24
139,Bangladesh,BAN,182.48,149,8,125.93,2011-08-24
140,Ethiopia,ETH,181.25,170,-1,138.66,2011-08-24
141,Fiji,FIJ,179.99,129,15,76.5,2011-08-24
142,Turkmenistan,TKM,179.06,177,-4,91.85,2011-08-24
143,Namibia,NAM,168.86,168,-3,63.89,2011-08-24
144,Puerto Rico,PUR,166.64,167,-3,132,2011-08-24
145,Burundi,BDI,163.58,164,-2,111.59,2011-08-24
146,Malaysia,MAS,158.36,156,-1,93.42,2011-08-24
147,Barbados,BRB,155.62,156,-2,74.8,2011-08-24
148,Belize,BLZ,146.14,146,0,125.59,2011-08-24
149,US Virgin Islands,VIR,144.2,144,0,140.8,2011-08-24
150,Guinea-Bissau,GNB,142.2,142,1,129.86,2011-08-24
151,Bahamas,BAH,140.5,141,1,132,2011-08-24
152,Madagascar,MAD,139.43,143,-2,77.04,2011-08-24
153,Tajikistan,TJK,132,167,-12,75.25,2011-08-24
154,Equatorial Guinea,EQG,130.6,131,1,79.46,2011-08-24
154,Hong Kong,HKG,130.59,134,0,53.22,2011-08-24
154,Chad,CHA,131.34,127,4,33.33,2011-08-24
157,Palestine,PLE,116.53,97,9,90.73,2011-08-24
158,St Vincent and the Grenadines,VIN,111.79,112,3,86.9,2011-08-24
158,India,IND,112.14,135,-5,53.2,2011-08-24
160,Mongolia,MNG,105.6,106,3,90.3,2011-08-24
160,Lebanon,LIB,105.85,120,-1,53.75,2011-08-24
162,Maldives,MDV,105.44,116,-2,39.48,2011-08-24
162,Philippines,PHI,105.35,109,0,70.99,2011-08-24
162,Vanuatu,VAN,104.92,93,7,54.64,2011-08-24
165,New Caledonia,NCL,104.08,104,-1,42.5,2011-08-24
166,Curaçao,CUW,103.39,128,-9,63.71,2011-08-24
167,Malta,MLT,102.25,83,6,60.61,2011-08-24
168,Myanmar,MYA,98.99,100,-3,36.52,2011-08-24
169,Chinese Taipei,TPE,96.62,97,-3,63.35,2011-08-24
170,Aruba,ARU,92.34,95,-2,88,2011-08-24
170,Pakistan,PAK,91.82,92,1,48.85,2011-08-24
172,Cayman Islands,CAY,90.02,90,0,66,2011-08-24
172,Swaziland,SWZ,90.33,93,-3,24.75,2011-08-24
174,Sri Lanka,SRI,85.54,79,2,28.13,2011-08-24
175,Seychelles,SEY,85.05,7,24,77.4,2011-08-24
176,Cambodia,CAM,83.04,82,-2,66.65,2011-08-24
177,Kyrgyz Republic,KGZ,79.16,72,3,25.8,2011-08-24
177,Solomon Islands,SOL,78.93,70,4,42.5,2011-08-24
179,Nicaragua,NCA,74.55,75,-1,30.67,2011-08-24
180,Laos,LAO,70.93,76,-3,54.54,2011-08-24
181,Afghanistan,AFG,70.28,73,-2,61.81,2011-08-24
182,Comoros,COM,68.04,80,-7,48.91,2011-08-24
183,Tahiti,TAH,56.95,57,-1,44.2,2011-08-24
184,St Lucia,LCA,54,54,-1,41.25,2011-08-24
185,Lesotho,LES,40.35,44,-1,0,2011-08-24
185,Bermuda,BER,39.9,40,0,0,2011-08-24
187,British Virgin Islands,VGB,38.3,38,-1,26.4,2011-08-24
188,Mauritius,MRI,35.47,10,7,26.88,2011-08-24
189,Eritrea,ERI,28.65,29,-1,0,2011-08-24
190,Mauritania,MTN,27.25,32,-3,0,2011-08-24
191,Samoa,SAM,25.5,26,-2,0,2011-08-24
192,Macau,MAC,24.81,25,-2,18.43,2011-08-24
193,Somalia,SOM,23.1,23,-2,0,2011-08-24
194,Tonga,TGA,15.3,15,-2,0,2011-08-24
195,Turks and Caicos Islands,TCA,12.75,13,-2,0,2011-08-24
196,Djibouti,DJI,11.87,12,-2,0,2011-08-24
197,Cook Islands,COK,10.2,10,-2,0,2011-08-24
197,Guam,GUM,10.2,10,-2,0,2011-08-24
199,Brunei Darussalam,BRU,8.99,9,-1,0,2011-08-24
200,Anguilla,AIA,7.33,7,-1,7.33,2011-08-24
201,Bhutan,BHU,6.07,6,0,0,2011-08-24
202,Timor-Leste,TLS,2.55,3,0,0,2011-08-24
203,American Samoa,ASA,0,0,0,0,2011-08-24
203,Andorra,AND,0,0,0,0,2011-08-24
203,Montserrat,MSR,0,0,0,0,2011-08-24
203,San Marino,SMR,0,0,0,0,2011-08-24
1,Spain,ESP,1605.16,1563,1,656.13,2011-09-21
2,Netherlands,NED,1570.81,1596,-1,727.05,2011-09-21
3,Germany,GER,1289.99,1330,0,557.21,2011-09-21
4,Uruguay,URU,1184.06,1174,1,589.71,2011-09-21
5,Portugal,POR,1158.22,1060,3,638.67,2011-09-21
6,Italy,ITA,1142.19,1110,1,679.41,2011-09-21
7,Brazil,BRA,1131.52,1156,-1,377.18,2011-09-21
8,England,ENG,1089.31,1177,-4,486.83,2011-09-21
9,Croatia,CRO,1057.33,1009,1,572.95,2011-09-21
10,Argentina,ARG,1024.16,1017,-1,369.67,2011-09-21
11,Greece,GRE,1000.06,937,3,521.49,2011-09-21
12,France,FRA,955.5,918,3,545.04,2011-09-21
13,Russia,RUS,954.5,940,0,509.25,2011-09-21
14,Chile,CHI,932.15,960,-3,417.26,2011-09-21
15,Japan,JPN,924.4,918,0,540.09,2011-09-21
16,Côte d'Ivoire,CIV,909.79,918,-1,459.49,2011-09-21
17,Denmark,DEN,893.35,841,4,488.11,2011-09-21
18,Switzerland,SUI,886.11,757,12,413.44,2011-09-21
19,Australia,AUS,881.63,837,3,422.74,2011-09-21
20,Mexico,MEX,866.38,864,0,485.18,2011-09-21
21,Serbia,SRB,855.07,784,8,390.58,2011-09-21
22,Bosnia and Herzegovina,BIH,839.26,656,17,581.45,2011-09-21
23,Norway,NOR,834.53,943,-11,362.35,2011-09-21
24,Paraguay,PAR,824.87,807,1,348.78,2011-09-21
25,Sweden,SWE,792.39,889,-7,420.43,2011-09-21
26,Montenegro,MNE,777.45,875,-7,412.64,2011-09-21
27,Turkey,TUR,753.92,811,-3,317.14,2011-09-21
27,Hungary,HUN,753.74,613,18,472.91,2011-09-21
29,Republic of Ireland,IRL,749.07,754,2,378.88,2011-09-21
29,Korea Republic,KOR,749.34,745,4,427.58,2011-09-21
31,USA,USA,741.45,791,-3,290.69,2011-09-21
32,Colombia,COL,737.82,730,3,397.71,2011-09-21
33,Slovenia,SVN,732.26,816,-10,276.5,2011-09-21
34,Belgium,BEL,729.4,675,3,468.5,2011-09-21
35,Peru,PER,723.8,806,-9,422.61,2011-09-21
36,Egypt,EGY,713.41,739,-2,180.6,2011-09-21
37,Ghana,GHA,700.21,726,-1,233.9,2011-09-21
38,Israel,ISR,677.37,746,-6,308.25,2011-09-21
39,Slovakia,SVK,661.97,806,-13,199.2,2011-09-21
40,Czech Republic,CZE,655.93,635,2,297.09,2011-09-21
41,Burkina Faso,BFA,651.32,646,-1,285.83,2011-09-21
42,Senegal,SEN,614.01,591,7,422.14,2011-09-21
43,Nigeria,NGA,613.45,659,-5,237.32,2011-09-21
44,Armenia,ARM,609.97,456,27,487.81,2011-09-21
45,Jamaica,JAM,606.27,623,-2,383.11,2011-09-21
46,Algeria,ALG,604.7,612,0,217.57,2011-09-21
47,Venezuela,VEN,597.55,615,-3,329.62,2011-09-21
48,Cameroon,CMR,595.55,582,4,219.93,2011-09-21
49,Romania,ROU,584.16,558,5,292.29,2011-09-21
50,IR Iran,IRN,576.07,559,3,310.78,2011-09-21
51,South Africa,RSA,574.43,602,-4,299.23,2011-09-21
52,Scotland,SCO,572.12,554,3,296.3,2011-09-21
53,Honduras,HON,564.25,589,-3,271.29,2011-09-21
53,Panama,PAN,564.34,524,9,325.31,2011-09-21
55,Bulgaria,BUL,558.24,586,-4,269.59,2011-09-21
56,Belarus,BLR,554.35,645,-15,272.17,2011-09-21
57,Costa Rica,CRC,549.48,530,3,260.91,2011-09-21
58,Estonia,EST,536.6,374,28,346.36,2011-09-21
59,Morocco,MAR,533.73,529,2,374.08,2011-09-21
60,Ukraine,UKR,531.4,598,-12,112.61,2011-09-21
61,Tunisia,TUN,526.16,546,-4,248.11,2011-09-21
62,Libya,LBY,518.85,504,2,394.1,2011-09-21
62,Mali,MLI,518.83,408,19,267.58,2011-09-21
64,Georgia,GEO,498.99,522,-1,323.9,2011-09-21
65,Poland,POL,495.53,498,0,265.17,2011-09-21
66,Zimbabwe,ZIM,489.54,434,8,385.37,2011-09-21
67,Gabon,GAB,488.91,482,0,80.35,2011-09-21
68,Sierra Leone,SLE,487.79,348,24,405.49,2011-09-21
69,Ecuador,ECU,481.49,491,-3,213.6,2011-09-21
70,Northern Ireland,NIR,477.25,545,-11,168.33,2011-09-21
71,Albania,ALB,473.76,546,-14,224.8,2011-09-21
72,Finland,FIN,471.25,416,7,231.11,2011-09-21
73,China PR,CHN,468.85,464,-4,279.29,2011-09-21
74,Latvia,LVA,459.7,388,10,196.67,2011-09-21
75,Lithuania,LTU,458.5,552,-19,109.17,2011-09-21
76,Guinea,GUI,447.21,464,-7,260.69,2011-09-21
77,Austria,AUT,441.79,472,-9,171.45,2011-09-21
78,Malawi,MWI,439.09,436,-5,220.55,2011-09-21
79,Uzbekistan,UZB,421.34,401,3,259.19,2011-09-21
80,Trinidad and Tobago,TRI,413.59,355,11,240.86,2011-09-21
81,Bolivia,BOL,411.51,380,4,105.95,2011-09-21
82,Uganda,UGA,411.12,411,-2,145.85,2011-09-21
83,Zambia,ZAM,409.37,427,-7,200.5,2011-09-21
84,Angola,ANG,407.38,338,12,234.35,2011-09-21
85,Jordan,JOR,406.47,348,7,250.6,2011-09-21
86,Cyprus,CYP,398.38,427,-10,88.68,2011-09-21
87,Canada,CAN,394.83,319,15,225.22,2011-09-21
88,El Salvador,SLV,389.51,431,-13,256.75,2011-09-21
89,New Zealand,NZL,377.39,346,5,46.81,2011-09-21
90,Wales,WAL,374.4,251,27,195.83,2011-09-21
91,Cape Verde Islands,CPV,371.7,444,-19,173.86,2011-09-21
92,Benin,BEN,369.94,394,-9,137.17,2011-09-21
93,Niger,NIG,368.53,309,11,328.33,2011-09-21
94,FYR Macedonia,MKD,366.27,358,-4,115.9,2011-09-21
95,Botswana,BOT,363.99,424,-17,185.3,2011-09-21
95,Togo,TOG,363.85,242,26,164.76,2011-09-21
97,Azerbaijan,AZE,358.64,272,15,230.5,2011-09-21
97,Saudi Arabia,KSA,359.41,372,-10,138.11,2011-09-21
99,Kuwait,KUW,352.06,341,-4,185.24,2011-09-21
100,Qatar,QAT,349.71,364,-12,203.13,2011-09-21
101,Antigua and Barbuda,ATG,344.96,308,5,252.16,2011-09-21
102,Bahrain,BHR,334.97,325,-1,125.25,2011-09-21
103,Cuba,CUB,331.73,327,-4,224.27,2011-09-21
103,Sudan,SDN,332.19,329,-5,187.77,2011-09-21
105,Oman,OMA,318.71,312,-2,145.72,2011-09-21
106,Iceland,ISL,315.97,232,18,171.79,2011-09-21
107,Iraq,IRQ,306.86,293,2,190.63,2011-09-21
108,Haiti,HAI,305.05,259,8,229.5,2011-09-21
109,Guatemala,GUA,301.7,261,4,196.74,2011-09-21
109,Syria,SYR,302.07,337,-12,135.07,2011-09-21
111,Central African Republic,CTA,296.37,309,-7,271.21,2011-09-21
112,United Arab Emirates,UAE,287.37,299,-4,117.18,2011-09-21
113,Suriname,SUR,286.29,285,-3,208.27,2011-09-21
114,Luxembourg,LUX,283.67,211,14,193.58,2011-09-21
115,Mozambique,MOZ,279.56,327,-16,110.65,2011-09-21
116,Guyana,GUY,277.94,260,-2,200.05,2011-09-21
117,Thailand,THA,274.33,246,3,137.47,2011-09-21
118,Liechtenstein,LIE,270.04,247,1,222,2011-09-21
119,Namibia,NAM,269.25,169,24,174.51,2011-09-21
120,Grenada,GRN,265.37,249,-2,152.49,2011-09-21
121,Korea DPR,PRK,257.93,260,-7,111.5,2011-09-21
122,Moldova,MDA,255.15,364,-34,58.33,2011-09-21
123,St Kitts and Nevis,SKN,251.56,239,-1,212.08,2011-09-21
124,Tajikistan,TJK,250.04,132,29,193.07,2011-09-21
125,Gambia,GAM,247.91,306,-18,80.35,2011-09-21
126,Faroe Islands,FRO,243.91,273,-15,165.63,2011-09-21
127,Tanzania,TAN,239.84,229,-2,124.3,2011-09-21
128,Liberia,LBR,229.92,238,-5,172.43,2011-09-21
129,Congo DR,COD,225.47,222,-2,159.92,2011-09-21
130,Vietnam,VIE,208.64,209,-1,132.66,2011-09-21
131,Kenya,KEN,200.08,198,2,94.68,2011-09-21
132,Kazakhstan,KAZ,198.43,227,-6,117.91,2011-09-21
133,Ethiopia,ETH,195.68,181,7,132.91,2011-09-21
134,Belize,BLZ,195.36,146,14,163.9,2011-09-21
135,Nepal,NEP,193.03,193,1,145.48,2011-09-21
136,Singapore,SIN,187.7,209,-7,87.61,2011-09-21
137,Yemen,YEM,185.05,198,-4,61.63,2011-09-21
138,Bangladesh,BAN,183.32,182,1,125.93,2011-09-21
139,Dominican Republic,DOM,181.5,198,-6,181.5,2011-09-21
139,Indonesia,IDN,182.03,207,-8,114.35,2011-09-21
141,Turkmenistan,TKM,179.06,179,1,91.85,2011-09-21
141,Burundi,BDI,179.18,164,4,106.86,2011-09-21
143,Rwanda,RWA,178.14,192,-5,64.38,2011-09-21
144,Congo,CGO,176.74,201,-12,74.82,2011-09-21
145,Puerto Rico,PUR,173.24,167,-1,138.6,2011-09-21
146,Lebanon,LIB,163.25,106,14,114.49,2011-09-21
147,Malaysia,MAS,158.05,158,-1,100.1,2011-09-21
147,Fiji,FIJ,158.1,180,-6,85,2011-09-21
149,Dominica,DMA,154.23,193,-13,136.55,2011-09-21
150,Barbados,BRB,147.92,156,-3,67.1,2011-09-21
151,US Virgin Islands,VIR,144.2,144,-2,140.8,2011-09-21
152,Bahamas,BAH,140.5,141,-1,132,2011-09-21
152,Equatorial Guinea,EQG,141.04,131,2,129,2011-09-21
154,Malta,MLT,137.65,102,13,103.43,2011-09-21
155,New Caledonia,NCL,127.58,104,10,85.08,2011-09-21
156,Nicaragua,NCA,123.52,75,23,79.64,2011-09-21
156,Hong Kong,HKG,123.97,131,-2,53.22,2011-09-21
158,Madagascar,MAD,115.47,139,-6,66.65,2011-09-21
158,St Vincent and the Grenadines,VIN,114.63,112,0,84.12,2011-09-21
160,Lesotho,LES,112.6,40,25,71.55,2011-09-21
161,Chad,CHA,109.69,131,-7,39.99,2011-09-21
162,Palestine,PLE,108.28,117,-5,82.48,2011-09-21
163,India,IND,105.69,112,-5,43.58,2011-09-21
163,Mongolia,MNG,105.6,106,-3,90.3,2011-09-21
163,Guinea-Bissau,GNB,106.08,142,-13,39.56,2011-09-21
166,Maldives,MDV,105.44,105,-4,39.48,2011-09-21
166,Philippines,PHI,105.35,105,-4,70.99,2011-09-21
168,Myanmar,MYA,97.99,99,0,36.52,2011-09-21
169,Swaziland,SWZ,95.78,90,3,35.89,2011-09-21
170,Aruba,ARU,92.34,92,0,88,2011-09-21
170,Pakistan,PAK,91.82,92,0,48.85,2011-09-21
172,Chinese Taipei,TPE,88.54,97,-3,63.35,2011-09-21
173,Vanuatu,VAN,88.31,105,-11,69.61,2011-09-21
174,Cayman Islands,CAY,83.51,90,-2,66,2011-09-21
174,Cambodia,CAM,83.65,83,2,66.65,2011-09-21
176,Sri Lanka,SRI,83.09,86,-2,28.13,2011-09-21
177,Seychelles,SEY,82.08,85,-2,77.4,2011-09-21
178,Curaçao,CUW,75.08,103,-12,35.4,2011-09-21
178,Comoros,COM,75.03,68,4,55.9,2011-09-21
178,Kyrgyz Republic,KGZ,75.22,79,-1,25.8,2011-09-21
178,Solomon Islands,SOL,74.62,79,-1,74.62,2011-09-21
182,Laos,LAO,70.93,71,-2,54.54,2011-09-21
183,Afghanistan,AFG,70.28,70,-2,61.81,2011-09-21
184,Tahiti,TAH,67.68,57,-1,67.68,2011-09-21
185,St Lucia,LCA,45.75,54,-1,33,2011-09-21
186,Guam,GUM,35.85,10,11,25.65,2011-09-21
187,Papua New Guinea,PNG,34,0,0,34,2011-09-21
188,Mauritius,MRI,32.96,35,0,26.88,2011-09-21
189,Bermuda,BER,29.7,40,-4,0,2011-09-21
190,Eritrea,ERI,27.54,29,-1,0,2011-09-21
191,Macau,MAC,24.81,25,1,18.43,2011-09-21
191,British Virgin Islands,VGB,25.1,38,-4,0,2011-09-21
193,Mauritania,MTN,23.43,27,-3,0,2011-09-21
193,Somalia,SOM,23.1,23,0,0,2011-09-21
195,Turks and Caicos Islands,TCA,12.75,13,0,0,2011-09-21
196,Djibouti,DJI,11.63,12,0,0,2011-09-21
197,Cook Islands,COK,10.2,10,0,0,2011-09-21
198,Brunei Darussalam,BRU,8.99,9,1,0,2011-09-21
198,Anguilla,AIA,8.8,7,2,8.8,2011-09-21
200,Bhutan,BHU,6.07,6,1,0,2011-09-21
201,Timor-Leste,TLS,2.55,3,1,0,2011-09-21
201,Tonga,TGA,2.55,15,-7,0,2011-09-21
203,Samoa,SAM,0,26,-12,0,2011-09-21
203,San Marino,SMR,0,0,0,0,2011-09-21
203,American Samoa,ASA,0,0,0,0,2011-09-21
203,Andorra,AND,0,0,0,0,2011-09-21
203,Montserrat,MSR,0,0,0,0,2011-09-21
1,Spain,ESP,1624.45,1605,0,654.09,2011-10-19
2,Netherlands,NED,1425.32,1571,0,569.55,2011-10-19
3,Germany,GER,1352.38,1290,0,610.96,2011-10-19
4,Uruguay,URU,1229.82,1184,0,643.76,2011-10-19
5,Brazil,BRA,1144.32,1132,2,389.36,2011-10-19
6,Italy,ITA,1135.37,1142,0,652.14,2011-10-19
7,England,ENG,1100.83,1089,1,491.2,2011-10-19
8,Portugal,POR,1043.96,1158,-3,491.17,2011-10-19
8,Greece,GRE,1043.64,1000,3,542.63,2011-10-19
10,Argentina,ARG,1030.24,1024,0,402.45,2011-10-19
10,Denmark,DEN,1030.47,893,7,614.78,2011-10-19
12,Croatia,CRO,1014.98,1057,-3,488.65,2011-10-19
13,Russia,RUS,975.13,954,0,451.29,2011-10-19
14,Sweden,SWE,955.19,792,11,604.49,2011-10-19
15,France,FRA,952.96,956,-3,522.75,2011-10-19
16,Chile,CHI,941.48,932,-2,459.03,2011-10-19
17,Japan,JPN,924.29,924,-2,539.52,2011-10-19
18,Switzerland,SUI,920.15,886,0,468.75,2011-10-19
19,Côte d'Ivoire,CIV,898.27,910,-3,441.98,2011-10-19
20,Australia,AUS,867.56,882,-1,411.25,2011-10-19
21,Bosnia and Herzegovina,BIH,863.98,839,1,599.73,2011-10-19
22,Mexico,MEX,859.94,866,-2,477.87,2011-10-19
23,Serbia,SRB,854.07,855,-2,434.67,2011-10-19
24,Norway,NOR,838.36,835,-1,366.78,2011-10-19
25,Republic of Ireland,IRL,812.28,749,4,462.35,2011-10-19
26,Turkey,TUR,803.35,754,1,402.97,2011-10-19
27,Slovenia,SVN,787.14,732,6,309.72,2011-10-19
28,Paraguay,PAR,785.12,825,-4,352.72,2011-10-19
29,Korea Republic,KOR,774.66,749,0,455.68,2011-10-19
29,Egypt,EGY,775.15,713,7,243.34,2011-10-19
31,Colombia,COL,757.03,738,1,464.54,2011-10-19
32,Peru,PER,746.18,724,3,482.98,2011-10-19
33,Ghana,GHA,733.68,700,4,265.29,2011-10-19
34,USA,USA,719.61,741,-3,298.14,2011-10-19
35,Algeria,ALG,713.36,605,11,332.38,2011-10-19
